iter	Passed	Remaining
437	204434	262311
438	204888	261827
439	205321	261318
440	205790	260854
441	206232	260357
442	206674	259859
443	207117	259363
444	207583	258896
445	208110	258504
446	208580	258042
447	209041	257569
448	209489	257079
449	209959	256617
450	210401	256121
451	210873	255660
452	211325	255176
453	211785	254702
454	212231	254211
455	212680	253723
456	213118	253224
457	213574	252745
458	214021	252256
459	214471	251771
460	214918	251281
461	215350	250775
462	215781	250268
463	216207	249757
464	216692	249312
465	217125	248809
466	217580	248330
467	218017	247831
468	218484	247367
469	218947	246898
470	219396	246413
471	219823	245904
472	220251	245396
473	220685	244896
474	221135	244412
475	221572	243915
476	221998	243406
477	222464	242941
478	222910	242456
479	223334	241945
480	223789	241468
481	224224	240972
482	224677	240492
483	225127	240011
484	225633	239589
485	226066	239091
486	226530	238624
487	226969	238131
488	227413	237644
489	227870	237171
490	228314	236684
491	228769	236208
492	229214	235723
493	229687	235267
494	230092	234740
495	230545	234263
496	230980	233768
497	231421	233280
498	231882	232811
499	232321	232321
500	232854	231925
501	233258	231400
502	233689	230902
503	234150	230433
504	234634	229988
505	235046	229472
506	235496	228993
507	235936	228505
508	236379	228019
509	236826	227538
510	237263	227048
511	237705	226563
512	238117	226049
513	238567	225572
514	238998	225076
515	239453	224603
516	239913	224135
517	240354	223650
518	240792	223161
519	241228	222672
520	241688	222205
521	242115	221707
522	242559	221225
523	243048	220784
524	243507	220316
525	243927	219813
526	244405	219361
527	244840	218872
528	245274	218382
529	245885	218049
530	246328	217566
531	246821	217128
532	247237	216622
533	247690	216149
534	248146	215678
535	248598	215204
536	249014	214700
537	249477	214235
538	249905	213741
539	250344	213256
540	250820	212803
541	251268	212326
542	251710	211844
543	252155	211365
544	252636	210916
545	253088	210443
546	253546	209975
547	253955	209467
548	254432	209014
549	254877	208535
550	255368	208095
551	255850	207647
552	256335	207200
553	256970	206874
554	257518	206478
555	258013	206039
556	258473	205572
557	258956	205123
558	259484	204709
559	259951	204247
560	260458	203816
561	260971	203390
562	261486	202965
563	261985	202527
564	262584	202166
565	263063	201713
566	263625	201322
567	264113	200874
568	264733	200527
569	265201	200064
570	265710	199631
571	266199	199184
572	266702	198747
573	267184	198293
574	267640	197821
575	268093	197346
576	268555	196878
577	268979	196382
578	269460	195928
579	269982	195504
580	270491	195070
581	270932	194587
582	271392	194117
583	271845	193643
584	272302	193171
585	272757	192699
586	273217	192229
587	273666	191753
588	274137	191290
589	274591	190817
590	275060	190354
591	275507	189877
592	275964	189405
593	276419	188933
594	276887	188469
595	277335	187992
596	277767	187504
597	278224	187033
598	278657	186546
599	279111	186074
600	279549	185591
601	279995	185113
602	280445	184638
603	280921	184180
604	281387	183715
605	281816	183227
606	282270	182755
607	282700	182267
608	283135	181783
609	283601	181319
610	284052	180845
611	284522	180383
612	284965	179904
613	285412	179428
614	285862	178954
615	286381	178523
616	286817	178040
617	287258	177560
618	287705	177085
619	288143	176604
620	288602	176135
621	289049	175660
622	289493	175183
623	289920	174695
624	290382	174229
625	290853	173768
626	291340	173317
627	291780	172837
628	292207	172351
629	292669	171885
630	293146	171427
631	293597	170955
632	294090	170507
633	294571	170052
634	295017	169576
635	295533	169141
636	296049	168706
637	296677	168334
638	297136	167865
639	297598	167399
640	298084	166946
641	298607	166513
642	299068	166045
643	299568	165600
644	300033	165134
645	300592	164721
646	301048	164250
647	301525	163791
648	302061	163364
649	302549	162911
650	303095	162488
651	303585	162036
652	304072	161582
653	304550	161123
654	305010	160654
655	305499	160200
656	305951	159727
657	306445	159277
658	306903	158807
659	307375	158344
660	307851	157884
661	308297	157408
662	308748	156935
663	309218	156472
664	309673	156000
665	310112	155521
666	310585	155060
667	311025	154581
668	311525	154132
669	311959	153651
670	312466	153206
671	312900	152725
672	313373	152263
673	313809	151783
674	314340	151348
675	314786	150873
676	315233	150399
677	315711	149939
678	316179	149475
679	316632	149003
680	317134	148554
681	317577	148078
682	318049	147616
683	318516	147151
684	318959	146674
685	319401	146198
686	319844	145722
687	320300	145252
688	320729	144770
689	321195	144305
690	321623	143822
691	322083	143355
692	322573	142900
693	322988	142412
694	323444	141943
695	323907	141476
696	324391	141019
697	324837	140545
698	325290	140074
699	325792	139625
700	326265	139163
701	326700	138684
702	327240	138251
703	327730	137795
704	328193	137329
705	328686	136875
706	329149	136408
707	329598	135935
708	330063	135470
709	330537	135008
710	330988	134536
711	331459	134073
712	331904	133599
713	332343	133123
714	332823	132663
715	333323	132211
716	333750	131731
717	334231	131272
718	334683	130801
719	335190	130351
720	335676	129894
721	336137	129426
722	336606	128962
723	337053	128489
724	337490	128013
725	337952	127546
726	338409	127078
727	338853	126604
728	339305	126133
729	339744	125659
730	340180	125182
731	340641	124715
732	341111	124252
733	341574	123785
734	342017	123312
735	342461	122839
736	342906	122366
737	343328	121886
738	343762	121409
739	344228	120945
740	344683	120476
741	345135	120006
742	345581	119535
743	346081	119081
744	346526	118609
745	346969	118137
746	347472	117684
747	347907	117209
748	348367	116742
749	348803	116267
750	349341	115826
751	349855	115377
752	350318	114911
753	350792	114449
754	351245	113980
755	351694	113509
756	352148	113041
757	352630	112581
758	353108	112120
759	353544	111645
760	354049	111192
761	354555	110740
762	355033	110279
763	355488	109810
764	355939	109340
765	356407	108876
766	356893	108417
767	357425	107972
768	357873	107501
769	358321	107031
770	358756	106556
771	359216	106089
772	359703	105630
773	360185	105170
774	360612	104693
775	361058	104223
776	361588	103776
777	362044	103308
778	362538	102851
779	363077	102406
780	363517	101933
781	363953	101460
782	364416	100994
783	364886	100530
784	365330	100058
785	365771	99586
786	366279	99132
787	366791	98679
788	367237	98209
789	367676	97736
790	368127	97267
791	368563	96794
792	368996	96320
793	369454	95853
794	369909	95385
795	370384	94922
796	370801	94445
797	371254	93976
798	371693	93504
799	372213	93053
800	372654	92582
801	373117	92116
802	373625	91661
803	374122	91204
804	374612	90744
805	375082	90280
806	375583	89823
807	376012	89349
808	376459	88879
809	376892	88406
810	377343	87938
811	377793	87469
812	378252	87002
813	378692	86531
814	379156	86066
815	379612	85598
816	380084	85135
817	380630	84688
818	381084	84220
819	381575	83760
820	382065	83300
821	382529	82834
822	383090	82390
823	383595	81933
824	384098	81475
825	384575	81012
826	385066	80552
827	385602	80101
828	386145	79651
829	386638	79191
830	387299	78764
831	387789	78303
832	388241	77834
833	388675	77362
834	389127	76893
835	389551	76419
836	390011	75952
837	390534	75497
838	390979	75027
839	391417	74555
840	391846	74082
841	392312	73616
842	392756	73146
843	393199	72676
844	393651	72208
845	394139	71746
846	394592	71278
847	395041	70809
848	395477	70338
849	395939	69871
850	396382	69401
851	396818	68930
852	397248	68458
853	397714	67993
854	398166	67525
855	398587	67052
856	399039	66584
857	399499	66117
858	399945	65648
859	400400	65181
860	400855	64714
861	401336	64251
862	401784	63782
863	402239	63315
864	402715	62851
865	403178	62385
866	403659	61922
867	404133	61458
868	404583	60990
869	405053	60525
870	405487	60055
871	405943	59588
872	406397	59120
873	406921	58663
874	407426	58203
875	407931	57743
876	408426	57282
877	408897	56817
878	409383	56354
879	409868	55891
880	410369	55430
881	410857	54967
882	411328	54502
883	411793	54036
884	412259	53570
885	412731	53105
886	413189	52638
887	413653	52172
888	414136	51708
889	414604	51243
890	415074	50777
891	415540	50312
892	416029	49849
893	416479	49381
894	416964	48917
895	417404	48448
896	417878	47983
897	418396	47523
898	418876	47059
899	419350	46594
900	419808	46127
901	420308	45665
902	420749	45196
903	421230	44732
904	421719	44268
905	422202	43804
906	422653	43337
907	423122	42871
908	423584	42405
909	424030	41937
910	424466	41468
911	424892	40998
912	425340	40530
913	425776	40062
914	426249	39596
915	426703	39130
916	427158	38663
917	427611	38196
918	428056	37728
919	428512	37261
920	428974	36795
921	429416	36328
922	429859	35860
923	430258	35389
924	430700	34921
925	431149	34454
926	431584	33986
927	432094	33524
928	432528	33056
929	432986	32590
930	433737	32145
931	434271	31685
932	434923	31232
933	435496	30773
934	435982	30308
935	436452	29842
936	436954	29379
937	437421	28912
938	437892	28446
939	438392	27982
940	438865	27516
941	439311	27048
942	439762	26581
943	440205	26113
944	440627	25644
945	441113	25179
946	441554	24712
947	442012	24245
948	442469	23778
949	442931	23312
950	443371	22844
951	443847	22378
952	444316	21912
953	444761	21445
954	445196	20977
955	445636	20510
956	446146	20046
957	446618	19580
958	447164	19117
959	447589	18649
960	448049	18183
961	448469	17715
962	448944	17249
963	449408	16782
964	449892	16317
965	450424	15853
966	450884	15386
967	451321	14919
968	451789	14453
969	452246	13986
970	452697	13520
971	453133	13053
972	453591	12586
973	454072	12121
974	454531	11654
975	455011	11188
976	455458	10722
977	455954	10256
978	456426	9790
979	456987	9326
980	457430	8859
981	457952	8394
982	458410	7927
983	459049	7464
984	459490	6997
985	459950	6530
986	460403	6064
987	460876	5597
988	461320	5130
989	461806	4664
990	462335	4198
991	462822	3732
992	463581	3267
993	464102	2801
994	464542	2334
995	464998	1867
996	465464	1400
997	465932	933
998	466404	466
999	467036	0
